Sentence,Summary,Greedy Search,Greedy Search Bert Score,Greedy Search Rouge Score,Beam Search,Beam Search Bert Score,Beam Search Rouge Score,Top-K,Top-K Bert Score,Top-K Rouge Score,Top-P,Top-P Bert Score,Top-P Rouge Score
japan 's nec corp. and UNK computer corp. of the united states said wednesday they had agreed to join forces in supercomputer sales .,nec UNK in computer sales tie-up,nec UNK to join forces in super,0.9046120047569275,0.42857142857142855,nec UNK to join forces in supercomputer,0.9117543697357178,0.42857142857142855,nec UNK team up in supercomputer,0.9124219417572021,0.6153846153846153,nec UNK to join forces in super,0.9046120047569275,0.42857142857142855
the sri lankan government on wednesday announced the closure of government schools with immediate effect as a military campaign against tamil separatists escalated in the north of the country .,sri lanka closes schools as war escalates,sri lanka closes schools as war,0.9687162041664124,0.923076923076923,sri lankan government closes schools,0.9368129968643188,0.5,sri lanka shuts govt schools,0.9415744543075562,0.5,sri lankan government closes schools,0.9368129968643188,0.5
"police arrested five anti-nuclear protesters thursday after they sought to disrupt loading of a french antarctic research and supply vessel , a spokesman for the protesters said .",protesters target french research ship,anti-nuclear protesters arrested after trying to,0.8425806164741516,0.16666666666666666,anti-nuclear protesters arrested after trying to,0.8425806164741516,0.16666666666666666,police arrest protesters who try to block french,0.8635150194168091,0.3076923076923077,five protesters arrested after antarctic research,0.8558866381645203,0.3636363636363636
"factory orders for manufactured goods rose #.# percent in september , the commerce department said here thursday .",us september factory orders up #.# percent,us factory orders up #.# percent in,0.9274700880050659,0.8333333333333334,us factory orders up #.# percent in sept,0.9391862154006958,0.7692307692307692,us factory orders for manufactured goods rise #,0.8922545909881592,0.4615384615384615,us factory orders up #.# percent in,0.9274700880050659,0.8333333333333334
the bank of japan appealed to financial markets to remain calm friday following the us decision to order daiwa bank ltd. to close its us operations .,bank of UNK UNK for calm in financial markets,boj urges calm after us orders d,0.8262323141098022,0.125,boj urges calm after us orders d,0.8262323141098022,0.125,boj calls for calm in face of,0.8476079702377319,0.5,boj urges calm after us orders d,0.8262323141098022,0.125
"croatian president franjo tudjman said friday croatian and serb negotiators would meet saturday to thrash out an agreement on the last serb-held area in croatia , under a deal reached at us-brokered talks .",rebel serb talks to resume saturday : tudjman by peter UNK,tudjman says negotiators to meet,0.843273401260376,0.26666666666666666,croatian serb negotiators to meet,0.8406339287757874,0.26666666666666666,croatia serbs agree to meet,0.8281096816062927,0.13333333333333333,croatian serb negotiators to meet,0.8406339287757874,0.26666666666666666
japan 's toyota team europe were banned from the world rally championship for one year here on friday in a crushing ruling by the world council of the international automobile federation -lrb- fia -rrb- .,toyota are banned for a year,toyota team europe banned for,0.8730449676513672,0.5454545454545454,toyota team europe banned for,0.8730449676513672,0.5454545454545454,toyota team europe banned for,0.8730449676513672,0.5454545454545454,toyota 's european,0.8397175073623657,0.2222222222222222
"israel prepared sunday for prime minister yitzhak rabin 's state funeral which will be attended by a host of world leaders , including us president bill clinton and the jordanian and egyptian heads of state .",israel prepares jerusalem state funeral for rabin,israel prepares for rabin funeral with,0.9414719343185425,0.7692307692307692,israel prepares for state funeral for r,0.9371964931488037,0.7142857142857143,israel prepares for rabin funeral with,0.9414719343185425,0.7692307692307692,israel prepares for rabin state funeral,0.9644144177436829,0.923076923076923
indian prime minister p.v. narasimha rao 's promise of more autonomy for troubled kashmir and his plea for early state elections has sparked a violent reaction from provincial moslem and opposition parties .,indian pm 's announcement on kashmir polls autonomy sparks outrage,indian pm 's promise of more,0.9008498787879944,0.37499999999999994,indian pm 's kashmir,0.9227855205535889,0.5714285714285715,kashmiris protest against indian,0.8595248460769653,0.14285714285714288,kashmir violence mars indian pm,0.8737854957580566,0.4
UNK,russian liberal party wins registration,UNK UNK UNKT UNK,0.7914084792137146,0.0,UNK UNK 's UNK,0.7992472648620605,0.0,UNK UNK 's UNK,0.7992472648620605,0.0,sloc calls on national basketball association to,0.8119596838951111,0.0
